name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Jota,NFO,MID,5.5,Available,835,52,0,1.7,0.1
Dominguez,NFO,MID,5.0,Injured,1954,54,0,1.6,0.0
O'Brien,NFO,MID,5.0,NotAvail,0,0,0,0.0,0.0
Sangaré,NFO,MID,5.0,Available,584,20,0,1.5,0.1
Yates,NFO,MID,5.0,Available,1901,67,3,1.9,0.2
Da Silva Moreira,NFO,MID,4.5,Available,28,2,0,1.0,0.2
Stamenic,NFO,MID,4.5,Available,0,0,0,0.0,0.1
Wood,NFO,FWD,7.5,Available,2958,200,41,5.6,14.4
Igor Jesus,NFO,FWD,6.0,Available,0,0,0,0.0,1.0
Awoniyi,NFO,FWD,5.5,Available,398,32,0,1.2,0.8
Ndoye,NFO,MID,6.0,Available,0,0,0,0.0,0.3
Gunn,NFO,GKP,4.0,Available,0,0,0,0.0,0.9
Marc Guiu,SUN,FWD,4.5,Doubtful,71,3,0,1.0,13.7
Patterson,SUN,GKP,4.5,Available,0,0,0,0.0,0.4
Moore,SUN,GKP,4.0,Available,0,0,0,0.0,0.5
Nna Noukeu,SUN,GKP,4.0,Available,0,0,0,0.0,0.2
Ballard,SUN,DEF,4.5,Available,0,0,0,0.0,0.2
Hume,SUN,DEF,4.5,Available,0,0,0,0.0,0.2
Alese,SUN,DEF,4.0,Injured,0,0,0,0.0,0.0
Anderson,SUN,DEF,4.0,Available,0,0,0,0.0,0.5
Cirkin,SUN,DEF,4.0,Injured,0,0,0,0.0,0.1
Hjelde,SUN,DEF,4.0,Injured,0,0,0,0.0,0.0
Huggins,SUN,DEF,4.0,Available,0,0,0,0.0,0.2
Johnson,SUN,DEF,4.0,Available,0,0,0,0.0,0.3
O'Nien,SUN,DEF,4.0,Injured,0,0,0,0.0,0.0
Pembele,SUN,DEF,4.0,Available,0,0,0,0.0,0.3
Reinildo,SUN,DEF,4.0,Available,0,0,0,0.0,7.6
Seelt,SUN,DEF,4.0,Available,0,0,0,0.0,0.4
Adingra,SUN,MID,5.5,Available,1081,60,0,2.1,2.1
Diarra,SUN,MID,5.5,Available,0,0,0,0.0,0.1
Roberts,SUN,MID,5.5,Available,0,0,0,0.0,0.1
Aleksić,SUN,MID,5.0,Available,0,0,0,0.0,0.1
E.Le Fée,SUN,MID,5.0,Available,0,0,0,0.0,0.7
Mundle,SUN,MID,5.0,Injured,0,0,0,0.0,0.0
Neil,SUN,MID,5.0,Available,0,0,0,0.0,0.1
Poveda,SUN,MID,5.0,Available,0,0,0,0.0,0.0
Rigg,SUN,MID,5.0,Available,0,0,0,0.0,0.1
Sadiki,SUN,MID,5.0,Available,0,0,0,0.0,0.1
Talbi,SUN,MID,5.0,Available,0,0,0,0.0,0.2
Ba,SUN,MID,4.5,Available,0,0,0,0.0,0.3
Browne,SUN,MID,4.5,Available,0,0,0,0.0,0.1
Ekwah,SUN,MID,4.5,Available,0,0,0,0.0,0.1
H.Jones,SUN,MID,4.5,Available,0,0,0,0.0,0.1
Matete,SUN,MID,4.5,Available,0,0,0,0.0,0.3
Triantis,SUN,MID,4.5,Available,0,0,0,0.0,0.1
Isidor,SUN,FWD,5.5,Available,0,0,0,0.0,0.3
Mayenda,SUN,FWD,5.5,Available,0,0,0,0.0,0.3
Abdullahi,SUN,FWD,4.5,Available,0,0,0,0.0,0.8
Luís Hemir,SUN,FWD,4.5,Available,0,0,0,0.0,0.2
Rusyn,SUN,FWD,4.5,Available,0,0,0,0.0,0.3
Xhaka,SUN,MID,5.0,Available,0,0,0,0.0,2.6
Roefs,SUN,GKP,4.5,Available,0,0,0,0.0,0.2
Masuaku,SUN,DEF,4.0,Doubtful,0,0,0,0.0,0.1
Vicario,TOT,GKP,5.0,Available,2160,66,2,2.8,3.5
Austin,TOT,GKP,4.0,Available,90,1,0,1.0,0.3
Kinsky,TOT,GKP,4.0,Available,540,17,0,2.8,3.2
Pedro Porro,TOT,DEF,5.5,Available,2606,98,6,3.0,13.7
Romero,TOT,DEF,5.0,Available,1416,49,3,2.7,2.0
Danso,TOT,DEF,4.5,Available,842,16,0,1.6,0.1
Davies,TOT,DEF,4.5,Available,1329,28,0,1.6,0.1
Dragusin,TOT,DEF,4.5,Injured,1250,24,0,1.5,0.0
Spence,TOT,DEF,4.5,Available,1790,51,6,2.0,0.6
Udogie,TOT,DEF,4.5,Doubtful,1923,43,0,1.7,3.6
Van de Ven,TOT,DEF,4.5,Available,1014,32,2,2.5,22.1
Phillips,TOT,DEF,4.0,NotAvail,0,0,0,0.0,0.1
Takai,TOT,DEF,4.0,Doubtful,0,0,0,0.0,0.3
